"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"wf_sweep"
"07/24/2026 02:00:29:408 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","influence_weight_friend","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"6","0.25","68","4.066914498141264","16","269","390","9.427509293680297"
"4","0.25","67","4.06198347107438","17","242","381","9.223140495867769"
"2","0.25","66","4.071161048689139","14","267","291","9.176029962546817"
"4","0.25","68","4.062761506276151","17","239","381","9.087866108786612"
"1","0.25","61","3.841463414634146","11","246","301","9.40650406504065"
"6","0.25","69","4.067164179104478","16","268","390","9.388059701492537"
"4","0.25","69","4.067226890756302","17","238","381","9.042016806722689"
"1","0.25","62","4.081967213114754","11","244","301","9.319672131147541"
"5","0.25","55","4.120521172638436","12","307","360","9.237785016286646"
"1","0.25","63","4.073770491803279","11","244","301","9.319672131147541"
"5","0.25","56","4.127035830618892","12","307","360","9.237785016286646"
"3","0.25","61","3.7509025270758123","14","277","343","9.321299638989169"
"5","0.25","57","4.124183006535947","12","306","360","9.202614379084967"
"2","0.25","67","4.071698113207547","16","265","306","9.20754716981132"
"3","0.25","62","3.9891696750902526","14","277","343","9.321299638989169"
"6","0.25","70","4.071428571428571","16","266","405","9.421052631578947"
"2","0.25","68","4.0754716981132075","16","265","306","9.20754716981132"
"6","0.25","71","4.078947368421052","16","266","405","9.421052631578947"
"3","0.25","63","3.989130434782609","15","276","343","9.282608695652174"
"4","0.25","70","4.079831932773109","17","238","411","9.294117647058824"
"2","0.25","69","4.071698113207547","16","265","306","9.20754716981132"
"1","0.25","64","4.078189300411522","11","243","314","9.382716049382717"
"6","0.25","72","4.083650190114068","17","263","405","9.300380228136882"
"4","0.25","71","4.07563025210084","17","238","411","9.294117647058824"
"1","0.25","65","4.082644628099174","12","242","314","9.338842975206612"
"4","0.25","72","4.080508474576271","18","236","411","9.211864406779661"
"1","0.25","66","4.08298755186722","12","241","314","9.294605809128631"
"5","0.25","58","4.134426229508197","13","305","374","9.259016393442623"
"3","0.25","64","3.9927272727272727","15","275","353","9.345454545454546"
"5","0.25","59","4.129568106312292","15","301","374","9.129568106312293"
"2","0.25","70","4.0754716981132075","16","265","327","9.366037735849057"
"5","0.25","60","4.137123745819398","15","299","374","9.063545150501673"
"3","0.25","65","3.9963636363636366","15","275","353","9.345454545454546"
"2","0.25","71","4.075757575757576","16","264","327","9.325757575757576"
"3","0.25","66","4","15","274","353","9.306569343065693"
