"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"wh_sweep"
"07/24/2026 01:58:07:708 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","influence_weight_household","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"2","0","41","4","5","274","209","9.306569343065693"
"5","0","35","4","6","246","158","9.065040650406504"
"4","0","48","4","13","233","258","9.50214592274678"
"6","0","32","4","6","253","223","9.217391304347826"
"1","0","38","4.003787878787879","3","264","160","9.234848484848484"
"2","0","42","4","5","273","209","9.282051282051283"
"5","0","36","4","6","246","158","9.065040650406504"
"6","0","33","4","6","253","223","9.217391304347826"
"1","0","39","3.9923954372623576","3","263","160","9.193916349809886"
"3","0","49","3.5267175572519083","7","262","288","9.068702290076336"
"3","0","50","3.99618320610687","7","262","288","9.068702290076336"
"4","0","49","3.834710743801653","13","242","271","9.462809917355372"
"3","0","51","3.9846743295019156","7","261","288","9.026819923371647"
"4","0","50","4.0125","13","240","271","9.375"
"1","0","40","3.99618320610687","3","262","170","9.229007633587786"
"2","0","43","4","6","270","224","9.274074074074074"
"4","0","51","4","13","240","271","9.375"
"1","0","41","3.99618320610687","3","262","170","9.229007633587786"
"6","0","34","4","7","251","243","9.290836653386455"
"2","0","44","4","6","269","224","9.234200743494425"
"5","0","37","3.798449612403101","7","258","179","9.209302325581396"
"3","0","52","3.9845559845559846","8","259","303","9.057915057915057"
"1","0","42","3.99618320610687","3","262","170","9.229007633587786"
"6","0","35","4","7","250","243","9.248"
"2","0","45","4","6","268","224","9.201492537313433"
"4","0","52","4","13","240","281","9.458333333333334"
"5","0","38","4.007843137254902","8","255","179","9.08235294117647"
"3","0","53","3.9844961240310077","8","258","303","9.015503875968992"
"6","0","36","4","7","249","243","9.204819277108435"
"4","0","53","4","13","236","281","9.279661016949152"
"3","0","54","3.9844961240310077","8","258","303","9.015503875968992"
"5","0","39","4.003921568627451","8","255","179","9.08235294117647"
"4","0","54","4","14","234","281","9.196581196581196"
"2","0","46","4","6","267","248","9.340823970037453"
"1","0","43","3.99618320610687","3","262","179","9.297709923664122"
"3","0","55","3.992217898832685","8","257","316","9.151750972762645"
"4","0","55","4","14","234","306","9.41025641025641"
"1","0","44","3.99618320610687","3","262","179","9.297709923664122"
"2","0","47","4","6","267","248","9.340823970037453"
"3","0","56","3.992217898832685","8","257","316","9.151750972762645"
"4","0","56","4","16","232","306","9.336206896551724"
"3","0","57","3.992217898832685","8","257","316","9.151750972762645"
"1","0","45","3.99618320610687","3","262","179","9.297709923664122"
"2","0","48","4","6","267","248","9.340823970037453"
"5","0","40","4.003937007874016","8","254","203","9.228346456692913"
"4","0","57","4","16","232","306","9.336206896551724"
"5","0","41","4","9","253","203","9.185770750988143"
"6","0","37","3.6752767527675276","7","271","257","9.158671586715867"
"4","0","58","4","16","230","322","9.391304347826088"
"3","0","58","3.992217898832685","8","257","331","9.268482490272374"
"1","0","46","3.996168582375479","3","261","189","9.340996168582375"
"5","0","42","4","9","253","203","9.185770750988143"
"4","0","59","4","16","230","322","9.391304347826088"
"6","0","38","4","7","269","257","9.130111524163569"
"3","0","59","3.992217898832685","8","257","331","9.268482490272374"
"4","0","60","4","16","230","322","9.391304347826088"
"3","0","60","3.992156862745098","8","255","331","9.184313725490195"
"1","0","47","3.996168582375479","3","261","189","9.340996168582375"
"6","0","39","4","7","267","257","9.0561797752809"
"2","0","49","3.6783216783216783","7","286","263","9.237762237762238"
"1","0","48","3.996138996138996","3","259","189","9.258687258687258"
"2","0","50","4.006993006993007","7","286","263","9.237762237762238"
"4","0","61","3.865546218487395","16","238","333","9.420168067226891"
"2","0","51","4","7","284","263","9.161971830985916"
"4","0","62","4","16","237","333","9.375527426160337"
"4","0","63","4","16","237","333","9.375527426160337"
"3","0","61","3.797752808988764","8","267","345","9.228464419475655"
"5","0","43","4","9","253","219","9.312252964426877"
"6","0","40","4","7","265","282","9.162264150943397"
"5","0","44","4","10","250","219","9.184"
"3","0","62","4.007518796992481","8","266","345","9.18796992481203"
"4","0","64","4","17","236","339","9.38135593220339"
"5","0","45","4","11","249","219","9.140562248995984"
"3","0","63","4.007547169811321","9","265","345","9.147169811320754"
"6","0","41","4","7","265","282","9.162264150943397"
"4","0","65","4","18","234","339","9.290598290598291"
"2","0","52","4","7","284","279","9.274647887323944"
"4","0","66","4","19","233","339","9.244635193133048"
"1","0","49","3.8051470588235294","3","272","209","9.316176470588236"
"6","0","42","4","8","262","282","9.053435114503817"
"2","0","53","4","7","284","279","9.274647887323944"
"3","0","64","4.007575757575758","9","264","360","9.219696969696969"
"1","0","50","3.985239852398524","3","271","209","9.276752767527675"
"2","0","54","4","7","284","279","9.274647887323944"
"4","0","67","4","19","233","359","9.416309012875537"
"4","0","68","4","19","233","359","9.416309012875537"
"3","0","65","4.007604562737643","9","263","360","9.186311787072244"
"1","0","51","3.9925925925925925","3","270","209","9.237037037037037"
"3","0","66","4.007604562737643","9","263","360","9.186311787072244"
"4","0","69","4","20","232","359","9.379310344827585"
"5","0","46","4","11","248","244","9.298387096774194"
"2","0","55","4","8","283","292","9.328621908127209"
"5","0","47","4","11","248","244","9.298387096774194"
"4","0","70","4","21","231","372","9.445887445887445"
"2","0","56","4","8","282","292","9.290780141843971"
"6","0","43","4","8","260","307","9.161538461538461"
"4","0","71","4","22","229","372","9.353711790393014"
"1","0","52","3.992565055762082","4","269","220","9.278810408921933"
"2","0","57","4","9","280","292","9.221428571428572"
"3","0","67","4.00763358778626","9","262","374","9.251908396946565"
"5","0","48","4","11","246","244","9.252032520325203"
"4","0","72","4","22","229","372","9.353711790393014"
"1","0","53","3.992565055762082","4","269","220","9.278810408921933"
"3","0","68","4","9","260","374","9.176923076923076"
"6","0","44","4","8","256","307","9.0390625"
"1","0","54","3.9925373134328357","4","268","220","9.246268656716419"
"3","0","69","4","10","259","374","9.135135135135135"
"6","0","45","4","8","256","307","9.0390625"
"2","0","58","4","10","277","314","9.277978339350181"
"4","0","73","3.6626506024096384","23","249","389","9.269076305220883"
"3","0","70","4","10","258","390","9.224806201550388"
"2","0","59","4","10","276","314","9.23913043478261"
"4","0","74","3.9959514170040484","23","247","389","9.182186234817813"
"1","0","55","3.9925373134328357","4","268","238","9.380597014925373"
"3","0","71","4","11","256","390","9.140625"
"4","0","75","3.9959514170040484","23","247","389","9.182186234817813"
"2","0","60","4","12","273","314","9.142857142857142"
"5","0","49","3.741444866920152","11","263","260","9.262357414448669"
"1","0","56","3.9924528301886792","6","265","238","9.260377358490565"
"6","0","46","4","8","254","339","9.204724409448819"
"3","0","72","4","11","254","390","9.05511811023622"
"5","0","50","3.9885496183206106","11","262","260","9.221374045801527"
"5","0","51","3.9885496183206106","11","262","260","9.221374045801527"
"1","0","57","3.9923954372623576","6","263","238","9.186311787072244"
"4","0","76","3.9959349593495936","23","246","397","9.203252032520325"
"6","0","47","4","8","253","339","9.1699604743083"
"6","0","48","4","8","252","339","9.126984126984127"
"4","0","77","4","23","246","397","9.203252032520325"
"4","0","78","4","23","246","397","9.203252032520325"
"3","0","73","3.6142857142857143","11","280","427","9.107142857142858"
"5","0","52","3.9884615384615385","11","260","269","9.207692307692307"
"2","0","61","3.7517241379310344","12","290","342","9.282758620689656"
"3","0","74","4.003571428571429","11","280","427","9.107142857142858"
"5","0","53","3.988416988416988","11","259","269","9.181467181467182"
"4","0","79","4","23","246","408","9.292682926829269"
"2","0","62","4","12","289","342","9.259515570934257"
"1","0","58","3.9923076923076923","6","260","259","9.23076923076923"
"3","0","75","4.003584229390681","12","279","427","9.068100358422939"
"4","0","80","4","24","245","408","9.248979591836735"
"5","0","54","3.988372093023256","11","258","269","9.13953488372093"
"2","0","63","4","12","289","342","9.259515570934257"
"1","0","59","3.992217898832685","7","257","259","9.105058365758754"
"4","0","81","4","24","245","408","9.248979591836735"
"1","0","60","3.9921875","7","256","259","9.0703125"
"6","0","49","3.788679245283019","9","265","372","9.358490566037736"
"3","0","76","4","12","279","445","9.197132616487455"
"4","0","82","4","25","243","424","9.292181069958847"
"2","0","64","4","12","289","346","9.28719723183391"
"6","0","50","3.9962264150943394","9","265","372","9.358490566037736"
"3","0","77","4","13","278","445","9.158273381294965"
"4","0","83","4","25","241","424","9.21161825726141"
"2","0","65","4","12","289","346","9.28719723183391"
"3","0","78","4","13","278","445","9.158273381294965"
"4","0","84","4","26","239","424","9.129707112970712"
"2","0","66","4","12","287","346","9.254355400696864"
"6","0","51","4","10","264","372","9.318181818181818"
"5","0","55","3.98828125","11","256","294","9.25"
"5","0","56","3.9881422924901186","11","253","294","9.17786561264822"
"3","0","79","4","14","277","462","9.24187725631769"
"5","0","57","3.9881422924901186","11","253","294","9.17786561264822"
"2","0","67","4","13","285","356","9.249122807017544"
"1","0","61","3.798507462686567","7","268","289","9.305970149253731"
"3","0","80","4","15","275","462","9.170909090909092"
"3","0","81","4","15","274","462","9.13138686131387"
"1","0","62","3.9961977186311786","9","263","289","9.102661596958175"
"2","0","68","4","14","284","356","9.211267605633802"
"4","0","85","3.6769230769230767","26","260","454","9.223076923076922"
"1","0","63","4","9","263","289","9.102661596958175"
"4","0","86","3.9923076923076923","26","260","454","9.223076923076922"
"2","0","69","4","14","283","356","9.173144876325088"
"6","0","52","4","10","264","386","9.424242424242424"
"4","0","87","3.996153846153846","26","260","454","9.223076923076922"
"6","0","53","4","10","263","386","9.384030418250951"
"5","0","58","3.9880478087649402","12","251","309","9.219123505976096"
"3","0","82","4","17","272","488","9.242647058823529"
"6","0","54","4","10","263","386","9.384030418250951"
"5","0","59","3.9880478087649402","12","251","309","9.219123505976096"
"4","0","88","3.996124031007752","27","258","462","9.2015503875969"
"3","0","83","4","17","272","488","9.242647058823529"
"1","0","64","4","10","261","316","9.28735632183908"
"2","0","70","4","14","283","376","9.314487632508834"
"4","0","89","3.996124031007752","27","258","462","9.2015503875969"
"3","0","84","4","18","270","488","9.170370370370371"
"5","0","60","3.9879032258064515","14","248","309","9.10483870967742"
"1","0","65","4","10","260","316","9.246153846153845"
"4","0","90","3.9961089494163424","27","257","462","9.15953307392996"
"2","0","71","4","14","280","376","9.228571428571428"
"2","0","72","4","14","279","376","9.189964157706093"
"1","0","66","4","10","260","316","9.246153846153845"
"6","0","55","4","11","260","395","9.330769230769231"
"6","0","56","4","11","260","395","9.330769230769231"
"4","0","91","3.99609375","28","256","479","9.2578125"
"6","0","57","4","11","260","395","9.330769230769231"
"4","0","92","3.996078431372549","28","255","479","9.223529411764705"
"4","0","93","3.9960629921259843","28","254","479","9.181102362204724"
"1","0","67","4","10","259","329","9.305019305019306"
"5","0","61","3.676579925650558","14","269","337","9.16728624535316"
"3","0","85","3.6975945017182132","18","291","518","9.230240549828178"
"1","0","68","4","10","258","329","9.271317829457365"
"5","0","62","4","14","268","337","9.164179104477611"
"3","0","86","3.9965635738831615","18","291","518","9.230240549828178"
"2","0","73","3.7567567567567566","14","296","397","9.277027027027026"
"1","0","69","4","10","257","329","9.229571984435797"
"5","0","63","4","14","267","337","9.123595505617978"
"6","0","58","4","12","258","415","9.4031007751938"
"3","0","87","3.9965397923875434","19","289","518","9.211072664359861"
"6","0","59","4","12","255","415","9.286274509803922"
"4","0","94","3.9960629921259843","28","254","500","9.346456692913385"
"6","0","60","4","12","255","415","9.286274509803922"
"2","0","74","3.996598639455782","15","294","397","9.204081632653061"
"4","0","95","4","29","250","500","9.208"
"4","0","96","4","30","248","500","9.120967741935484"
"2","0","75","3.9965870307167237","15","293","397","9.167235494880545"
"1","0","70","4","11","256","351","9.359375"
"3","0","88","3.9965397923875434","19","289","531","9.301038062283737"
"5","0","64","4","15","265","346","9.10943396226415"
"3","0","89","4","19","289","531","9.301038062283737"
"1","0","71","4","11","256","351","9.359375"
"5","0","65","4","16","264","346","9.068181818181818"
"3","0","90","4","19","288","531","9.26388888888889"
"1","0","72","4","11","256","351","9.359375"
"5","0","66","4","17","260","346","8.992307692307692"
"6","0","61","3.6945454545454544","13","275","442","9.265454545454546"
"4","0","97","3.579710144927536","31","276","528","9.101449275362318"
"2","0","76","4","16","292","413","9.23972602739726"
"6","0","62","4","13","273","442","9.245421245421245"
"3","0","91","4","19","288","548","9.381944444444445"
"4","0","98","4.003623188405797","31","276","528","9.101449275362318"
"2","0","77","4","16","292","413","9.23972602739726"
"3","0","92","4","19","288","548","9.381944444444445"
"4","0","99","4","31","276","528","9.101449275362318"
"6","0","63","4","14","271","442","9.217712177121772"
"2","0","78","4","17","291","413","9.20274914089347"
"3","0","93","4","19","287","548","9.344947735191637"
"1","0","73","3.7620817843866172","12","269","369","9.28624535315985"
"5","0","67","4","17","259","371","9.142857142857142"
"5","0","68","4","17","258","371","9.10077519379845"
"1","0","74","3.996268656716418","13","268","369","9.246268656716419"
"5","0","69","4","17","256","371","9.03125"
"1","0","75","4","13","268","369","9.246268656716419"
"6","0","64","4","14","270","451","9.251851851851852"
"4","0","100","4","31","276","546","9.231884057971014"
"3","0","94","4","19","287","555","9.393728222996515"
"6","0","65","4","14","269","451","9.278810408921933"
"4","0","101","4","31","275","546","9.192727272727273"
"2","0","79","4","17","291","435","9.353951890034365"
"3","0","95","4","19","287","555","9.393728222996515"
"6","0","66","4","14","268","451","9.238805970149254"
"4","0","102","4","32","274","546","9.153284671532846"
"2","0","80","4","17","290","435","9.344827586206897"
"5","0","70","4","17","255","400","9.215686274509803"
"3","0","96","4","19","287","555","9.393728222996515"
"5","0","71","4","17","252","400","9.087301587301587"
"1","0","76","4","13","268","379","9.32089552238806"
"2","0","81","4","17","290","435","9.344827586206897"
"5","0","72","4","17","251","400","9.0597609561753"
"1","0","77","4","13","267","379","9.280898876404494"
"6","0","67","4","14","266","466","9.31578947368421"
"1","0","78","4","13","267","379","9.280898876404494"
"4","0","103","4","32","274","565","9.291970802919709"
"6","0","68","4","14","264","466","9.242424242424242"
"4","0","104","4","32","274","565","9.291970802919709"
"6","0","69","4","14","264","466","9.242424242424242"
