"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"gamma_sweep"
"07/24/2026 01:56:28:138 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","gamma_behavior","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"3","2","47","3.940944881889764","8","254","192","9.181102362204724"
"4","4","52","4.037344398340249","12","241","311","9.352697095435685"
"2","1","39","4.073770491803279","11","244","235","9.319672131147541"
"3","2","48","3.940944881889764","8","254","192","9.181102362204724"
"4","4","53","4.029166666666667","13","240","311","9.308333333333334"
"4","4","54","4.02510460251046","14","239","311","9.263598326359833"
"1","0.5","37","3.7786561264822134","6","253","208","9.193675889328063"
"2","1","40","4.078189300411522","11","243","252","9.415637860082304"
"1","0.5","38","3.9484126984126986","6","252","208","9.15079365079365"
"6","1","49","3.708171206225681","7","257","283","9.29182879377432"
"4","4","55","4.02510460251046","14","239","329","9.414225941422593"
"6","1","50","3.95703125","7","256","283","9.25"
"2","1","41","4.074380165289257","12","242","252","9.388429752066116"
"1","0.5","39","3.952191235059761","6","251","208","9.107569721115539"
"5","0.5","49","3.8795180722891565","14","249","272","9.34136546184739"
"4","4","56","4.025316455696203","15","237","329","9.324894514767932"
"6","1","51","3.9609375","7","256","283","9.25"
"4","4","57","4.008510638297873","15","235","329","9.23404255319149"
"2","1","42","4.078512396694215","12","242","252","9.388429752066116"
"5","0.5","50","4.008032128514056","14","249","272","9.34136546184739"
"5","0.5","51","4.0120481927710845","14","249","272","9.34136546184739"
"3","2","49","3.5992779783393503","8","277","206","9.090252707581227"
"3","2","50","3.931407942238267","8","277","206","9.090252707581227"
"6","1","52","3.9568627450980394","7","255","290","9.262745098039217"
"1","0.5","40","3.952191235059761","6","251","223","9.227091633466136"
"4","4","58","4.008510638297873","15","235","358","9.480851063829787"
"2","1","43","4.074380165289257","12","242","265","9.49586776859504"
"1","0.5","41","3.948207171314741","6","251","223","9.227091633466136"
"4","4","59","4.012931034482759","15","232","358","9.370689655172415"
"6","1","53","3.9606299212598426","7","254","290","9.220472440944881"
"4","4","60","4.012931034482759","15","232","358","9.370689655172415"
"2","1","44","4.078838174273859","12","241","265","9.452282157676349"
"3","2","51","3.909090909090909","8","275","206","9.047272727272727"
"1","0.5","42","3.952","6","250","223","9.184"
"6","1","54","3.956692913385827","7","254","290","9.220472440944881"
"2","1","45","4.075","12","240","265","9.408333333333333"
"5","0.5","52","4.0120481927710845","14","249","280","9.405622489959839"
"3","2","52","3.909090909090909","8","275","230","9.221818181818183"
"5","0.5","53","4.012096774193548","15","248","280","9.362903225806452"
"5","0.5","54","4.012096774193548","15","248","280","9.362903225806452"
"6","1","55","3.9563492063492065","7","252","297","9.19047619047619"
"3","2","53","3.9047619047619047","8","273","230","9.194139194139193"
"2","1","46","4.079166666666667","12","240","280","9.533333333333333"
"6","1","56","3.9563492063492065","7","252","297","9.19047619047619"
"3","2","54","3.9044117647058822","8","272","230","9.154411764705882"
"1","0.5","43","3.9475806451612905","7","248","244","9.274193548387096"
"4","4","61","3.716","15","250","375","9.296"
"2","1","47","4.075","12","240","280","9.533333333333333"
"1","0.5","44","3.9475806451612905","7","248","244","9.274193548387096"
"6","1","57","3.956175298804781","8","251","297","9.147410358565738"
"4","4","62","4","16","247","375","9.17408906882591"
"2","1","48","4.079166666666667","12","240","280","9.533333333333333"
"4","4","63","4","16","247","375","9.17408906882591"
"1","0.5","45","3.9473684210526314","7","247","244","9.23076923076923"
"5","0.5","55","4.012096774193548","15","248","287","9.419354838709678"
"5","0.5","56","4.008130081300813","16","246","287","9.333333333333334"
"3","2","55","3.9","10","270","251","9.22962962962963"
"5","0.5","57","4.004065040650406","16","246","287","9.333333333333334"
"4","4","64","3.9959349593495936","17","246","392","9.268292682926829"
"6","1","58","3.956175298804781","8","251","317","9.306772908366534"
"3","2","56","3.9","10","270","251","9.22962962962963"
"6","1","59","3.956","8","250","317","9.312"
"4","4","65","3.987755102040816","17","245","392","9.224489795918368"
"2","1","49","3.896414342629482","12","251","287","9.49800796812749"
"3","2","57","3.899628252788104","10","269","251","9.189591078066915"
"4","4","66","3.987755102040816","17","245","392","9.224489795918368"
"6","1","60","3.9518072289156625","9","249","317","9.269076305220883"
"2","1","50","4.08","12","250","287","9.456"
"1","0.5","46","3.9473684210526314","7","247","262","9.376518218623481"
"5","0.5","58","4.004065040650406","16","246","298","9.422764227642276"
"2","1","51","4.088","12","250","287","9.456"
"5","0.5","59","4.004098360655738","17","244","298","9.336065573770492"
"1","0.5","47","3.9471544715447155","8","246","262","9.333333333333334"
"4","4","67","3.9876543209876543","17","243","410","9.300411522633745"
"5","0.5","60","4.004098360655738","17","244","298","9.336065573770492"
"4","4","68","3.9876543209876543","17","243","410","9.300411522633745"
"3","2","58","3.90188679245283","10","265","267","9.154716981132076"
"1","0.5","48","3.9471544715447155","8","246","262","9.333333333333334"
"4","4","69","3.9710743801652892","17","242","410","9.256198347107437"
"2","1","52","4.0843373493975905","13","249","304","9.550200803212851"
"3","2","59","3.9053030303030303","10","264","267","9.113636363636363"
"6","1","61","3.711026615969582","9","263","330","9.216730038022813"
"3","2","60","3.904580152671756","12","262","267","9.045801526717558"
"6","1","62","3.931558935361217","9","263","330","9.216730038022813"
"2","1","53","4.084677419354839","13","248","304","9.516129032258064"
"2","1","54","4.084677419354839","13","248","304","9.516129032258064"
"6","1","63","3.931297709923664","10","262","330","9.17557251908397"
"4","4","70","3.9707112970711296","17","239","426","9.271966527196653"
"4","4","71","3.966386554621849","17","238","426","9.22689075630252"
"4","4","72","3.966386554621849","17","238","426","9.22689075630252"
"5","0.5","61","3.8458498023715415","18","253","315","9.438735177865613"
"2","1","55","4.08502024291498","13","247","314","9.554655870445345"
"1","0.5","49","3.749034749034749","8","259","271","9.38996138996139"
"5","0.5","62","3.9683794466403164","18","253","315","9.438735177865613"
"2","1","56","4.085714285714285","13","245","314","9.46938775510204"
"6","1","64","3.9302325581395348","13","258","341","9.108527131782946"
"5","0.5","63","3.972332015810277","18","253","315","9.438735177865613"
"1","0.5","50","3.9612403100775193","9","258","271","9.348837209302326"
"2","1","57","4.08641975308642","14","243","314","9.382716049382717"
"6","1","65","3.9299610894941632","13","257","341","9.066147859922179"
"1","0.5","51","3.9651162790697674","9","258","271","9.348837209302326"
"5","0.5","64","3.9721115537848606","19","251","319","9.386454183266933"
"6","1","66","3.9299610894941632","13","257","341","9.066147859922179"
"4","4","73","3.6784313725490194","18","255","449","9.16078431372549"
"3","2","61","3.718978102189781","13","274","303","9.335766423357665"
"5","0.5","65","3.972","19","250","319","9.352"
"4","4","74","3.9450980392156865","18","255","449","9.16078431372549"
