"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"CVD_Risk_Behaviour.nlogox"
"Experiment_4A_Inflow"
"07/28/2026 22:12:53:499 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","annual_inflow","monthly-outmigration-prob","influence_weight_friend","gamma_net","relapse_friend_threshold","p_relapse","gamma_behavior","N_h","t_lag_years","theta_tol","omega_age","influence_weight_household","F_max","[step]","count turtles","mean [risk-score] of turtles"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","44","270","4.1"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","31","269","3.9479553903345725"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","35","260","4.061538461538461"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","32","269","3.9442379182156135"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","45","269","4.100371747211896"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","33","268","3.9477611940298507"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","36","260","4.065384615384615"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","43","274","3.9927007299270074"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","37","262","3.8969465648854964"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","38","260","4.1038461538461535"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","37","273","3.7875457875457874"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","44","273","3.9963369963369964"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","45","272","3.9926470588235294"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","46","268","4.100746268656716"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","39","260","4.1038461538461535"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","38","272","4.132352941176471"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","39","272","4.1286764705882355"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","47","267","4.101123595505618"
