"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"CVD_Risk_Behaviour.nlogox"
"Experiment_4B_Outmigration"
"07/28/2026 22:20:41:780 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","annual_inflow","monthly-outmigration-prob","influence_weight_friend","gamma_net","relapse_friend_threshold","p_relapse","gamma_behavior","N_h","t_lag_years","theta_tol","omega_age","influence_weight_household","F_max","[step]","count turtles","mean [count link-neighbors] of turtles","mean [risk-score] of turtles"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","235","11.71063829787234","3.9191489361702128"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","21","241","11.842323651452283","3.987551867219917"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","16","251","11.840637450199203","4.047808764940239"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","234","12.205128205128204","4.072649572649572"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","18","257","11.743190661478598","3.894941634241245"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","16","241","11.87551867219917","4.004149377593361"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","17","251","11.840637450199203","4.047808764940239"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","17","240","11.825","4.004166666666666"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","18","251","11.840637450199203","4.051792828685259"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","18","238","11.731092436974789","4"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","22","240","11.858333333333333","3.9875"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","16","235","11.812765957446809","3.9148936170212765"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","23","239","11.790794979079498","3.98744769874477"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","17","234","11.743589743589743","3.9145299145299144"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","24","239","11.790794979079498","3.98744769874477"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","257","11.813229571984436","3.894941634241245"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","250","11.856","4.048"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","20","250","11.856","4.056"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","18","234","11.743589743589743","3.9145299145299144"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","20","256","11.765625","3.8984375"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","21","249","11.80722891566265","4.048192771084337"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","253","11.889328063241107","3.766798418972332"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","21","254","11.669291338582678","3.893700787401575"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","253","11.889328063241107","4.059288537549407"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","238","11.857142857142858","4.004201680672269"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","25","255","11.6","3.7215686274509805"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","252","11.833333333333334","4.063492063492063"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","20","237","11.789029535864978","4.0042194092827"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","232","11.689655172413794","3.913793103448276"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","21","237","11.789029535864978","4.0042194092827"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","20","232","11.689655172413794","3.913793103448276"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","26","251","11.346613545816734","4.027888446215139"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","22","247","11.781376518218623","4.052631578947368"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","27","251","11.346613545816734","4.0239043824701195"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","23","246","11.747967479674797","4.056910569105691"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","21","230","11.57391304347826","3.9043478260869566"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","24","245","11.714285714285714","4.048979591836734"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","22","237","11.890295358649789","4.0042194092827"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","22","253","11.762845849802371","3.8932806324110674"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","23","237","11.890295358649789","4.0042194092827"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","16","252","11.88888888888889","4.063492063492063"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","28","249","11.373493975903614","4.032128514056225"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","24","237","11.890295358649789","4.0042194092827"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","23","252","11.714285714285714","3.892857142857143"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","17","250","11.776","4.064"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","22","230","11.73913043478261","3.8956521739130436"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","24","250","11.6","3.892"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","18","249","11.783132530120483","4.06425702811245"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","29","249","11.373493975903614","4.040160642570281"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","23","228","11.68421052631579","3.8947368421052633"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","30","247","11.271255060728745","4.040485829959514"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","24","228","11.68421052631579","3.8947368421052633"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","25","261","11.693486590038313","3.8084291187739465"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","26","261","11.693486590038313","4.068965517241379"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","25","243","11.843621399176955","3.860082304526749"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","27","261","11.693486590038313","4.0727969348659006"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","26","242","11.809917355371901","4.024793388429752"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","249","11.919678714859439","4.06425702811245"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","31","246","11.43089430894309","4.044715447154472"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","20","249","11.919678714859439","4.06425702811245"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","32","246","11.43089430894309","4.040650406504065"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","27","242","11.809917355371901","4.012396694214876"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","21","247","11.805668016194332","4.064777327935222"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","33","245","11.387755102040817","4.040816326530612"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","28","261","11.770114942528735","4.0727969348659006"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","25","250","11.432","3.552"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","25","271","11.424354243542435","3.5756457564575648"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","29","259","11.652509652509652","4.073359073359073"
